,Final Maluspoints
0,1236
1,1227
2,1242
3,979
4,1154
5,1266
6,1163
7,957
8,1260
9,1170
10,809
11,1032
12,1008
13,1061
14,1242
15,925
16,1122
17,1099
18,1153
19,1127
20,1205
21,1019
22,1325
23,1172
24,970
25,1120
26,863
27,1248
28,1030
29,1136
