,Final Maluspoints
0,170
1,158
2,139
3,188
4,138
5,149
6,157
7,153
8,166
9,146
10,171
11,148
12,175
13,136
14,156
15,150
16,168
17,128
18,143
19,132
20,159
21,133
22,165
23,141
24,147
25,160
26,143
27,141
28,146
29,169
