,Final Maluspoints
0,143
1,159
2,154
3,119
4,124
5,160
6,148
7,116
8,140
9,127
10,132
11,144
12,140
13,141
14,186
15,153
16,121
17,128
18,117
19,145
20,146
21,128
22,122
23,133
24,145
25,151
26,124
27,113
28,141
29,157
