373,10,3,119,241
389,15,0,100,274
391,20,0,111,260
376,15,22,100,239
385,15,4,117,249
389,20,4,110,255
415,20,9,101,285
373,20,3,100,250
421,20,0,141,260
373,15,4,102,252
420,20,0,135,265
414,20,3,104,287
391,15,2,110,264
369,15,3,107,244
400,20,1,122,257
369,10,22,89,248
378,20,3,91,264
398,20,2,123,253
407,10,11,110,276
409,20,3,136,250
397,15,1,115,266
379,15,8,89,267
387,15,13,87,272
388,10,3,97,278
388,15,5,114,254
393,20,20,93,260
387,15,19,67,286
390,20,3,108,259
381,15,3,100,263
393,20,4,112,257
