,Final Maluspoints
0,123
1,141
2,145
3,105
4,133
5,111
6,133
7,125
8,105
9,111
10,134
11,120
12,133
13,114
14,118
15,134
16,151
17,151
18,128
19,106
20,119
21,129
22,162
23,119
24,123
25,149
26,124
27,117
28,98
29,122
