,Final Maluspoints
0,134
1,146
2,142
3,127
4,123
5,125
6,124
7,100
8,121
9,104
10,123
11,121
12,158
13,129
14,114
15,114
16,103
17,105
18,133
19,129
20,113
21,140
22,113
23,141
24,138
25,123
26,94
27,123
28,138
29,121
