2421.9,2410,2438
2340.9,2329,2357
2328.4,2322,2339
2327.6,2321,2339
2328.7,2321,2341
2326.7,2319,2339
2327.6,2321,2339
2423.1,2417,2434
2421.8,2416,2433
2421.8,2416,2433
2422.8,2416,2436
2525.8,2519,2539
2525.4,2518,2539
2525.4,2518,2539
2525.8,2518,2541
2526.5,2517,2543
2522,2513,2538
2520.7,2510,2537
2520.7,2510,2537
2519.7,2509,2536
2521,2512,2535
2521.1,2514,2535
2579.5,2520,2621
2580.3,2520,2622
2554.1,2485,2588
2745.2,2676,2779
2753.1,2686,2785
2729.9,2663,2762
2718.9,2653,2748
2718.9,2653,2748
2708.4,2645,2749
2697,2633,2737
2669,2615,2719
2801.3,2745,2853
2801.4,2745,2853
2800.9,2745,2851
2695.5,2640,2746
2695.1,2640,2746
2674.3,2620,2726
2678.3,2624,2730
2678.4,2624,2730
2676.5,2623,2728
2676.6,2622,2728
2674.9,2622,2726
2675.6,2623,2726
2675.9,2624,2726
2685.2,2634,2735
2729.4,2657,2800
2730.8,2657,2800
2730.8,2657,2800
2760.3,2686,2829
2761,2687,2830
2776,2704,2842
2777,2705,2842
2775.5,2705,2842
2776,2706,2843
2775.8,2704,2844
2774.8,2703,2843
2773.9,2702,2842
2772.5,2700,2840
2772.2,2699,2840
2691,2608,2749
2584.1,2499,2642
2584.3,2499,2643
2583.5,2498,2642
2567,2401,2649
2490.9,2411,2544
2453.5,2374,2505
2536.2,2445,2620
2537,2446,2621
2518.3,2407,2616
2517.4,2406,2616
2516.3,2405,2614
2515.4,2406,2614
2515.5,2406,2614
2525.5,2414,2624
2500.2,2392,2600
2500.2,2392,2600
2525.5,2410,2636
2525.8,2411,2636
2526.5,2414,2636
2538.5,2426,2643
2537.5,2425,2642
2537.1,2424,2641
2527.8,2414,2632
2542.6,2429,2647
2537.6,2424,2642
2504.9,2388,2613
2508.4,2388,2620
2508.4,2388,2620
2508.4,2388,2620
2508.1,2388,2621
2508.5,2388,2620
2492.1,2380,2594
2146.5,2100,2231
2147.1,2101,2232
2147.6,2101,2233
2162.1,2114,2249
2162.1,2114,2250
2217.2,2114,2361
2217.9,2113,2363
2218.8,2111,2364
2218.8,2111,2364
2218.2,2110,2363
2212.2,2107,2357
2212.9,2110,2358
2113.3,2014,2256
2113.3,2014,2256
2113.5,2014,2256
2113.1,2013,2256
2124.8,2023,2270
2087,1985,2234
2086.8,1984,2234
2092.2,1990,2239
2092.5,1989,2241
2090.8,1987,2238
2090.2,1983,2238
2090,1981,2239
2289.7,2109,2448
2298,2118,2455
2297.4,2116,2455
2282.3,2110,2446
2274.7,2112,2448
2273.9,2112,2447
2175,2002,2340
2160.3,1993,2326
2215.5,2001,2429
2217.8,2003,2429
2219,2004,2431
2302.4,2095,2523
2302.2,2095,2523
2345.1,2197,2523
2346.2,2198,2524
2345.3,2198,2524
2345.3,2198,2524
2326.6,2178,2505
2439.1,2285,2622
2435.9,2284,2618
2469.7,2316,2651
2458.5,2315,2639
2432.3,2302,2602
2375.2,2290,2479
2374.9,2289,2479
2362.7,2274,2467
2363.4,2274,2467
2362,2273,2466
2345.2,2258,2448
2345.2,2258,2448
2263.9,2154,2358
2264.3,2155,2359
2264.7,2154,2358
2265,2154,2360
2265.2,2154,2360
2264,2154,2361
2191.4,2114,2245
2183.7,2106,2237
2180,2105,2229
2168.6,2096,2219
2162.4,2057,2283
2162.4,2057,2283
2152.1,2057,2261
2152.6,2057,2260
2151.9,2057,2259
2112.1,1967,2269
