,Final Maluspoints
0,219
1,207
2,211
3,217
4,221
5,212
6,217
7,246
8,192
9,233
10,214
11,241
12,237
13,224
14,222
15,211
16,192
17,191
18,216
19,206
20,198
21,208
22,218
23,230
24,231
25,234
26,215
27,209
28,210
29,204
